Iteration,Simulation,Result,X0,X1
0,0,-140.50688470291968,6.56980964900119,0.3112792403910225
1,0,-391.1093230085479,1.3048308106051056,11.416958997001078
2,0,-140.50689802843291,6.569809917776593,0.3112799672249037
3,0,-136.03550951914156,6.4853219523545045,0.24169401614237593
4,0,-56.1290587600469,4.887909218403447,0.0
5,0,-7.84647017495335,3.353099247920902,0.0
6,0,-4.740551673824125,2.1685475770873923,0.0
7,0,-2.287659963779527,2.6517896882789334,0.0
8,0,-2.288171002202736,2.658456825826554,0.0
9,0,-2.2882254293260393,2.658811109326831,0.0
10,0,-2.2882829736653196,2.6591675933524184,0.0
11,0,-2.288342409396291,2.659518897765067,0.0
12,0,-2.2884034074498025,2.6598638626851807,0.0
13,0,-2.288465847612075,2.6602026133565984,0.0
14,0,-2.2885292909339827,2.660533611031171,0.0
15,0,-2.2885952155395923,2.66086498904912,0.0
16,0,-2.2886612779043345,2.6611855333303094,0.0
17,0,-2.288729120296116,2.6615038846500547,0.0
18,0,-2.2887980064746127,2.6618169539671976,0.0
19,0,-2.288868239764672,2.6621265310074427,0.0
20,0,-2.28893971033421,2.662432452181033,0.0
21,0,-2.2890121627803497,2.6627339709051308,0.0
22,0,-2.289084616194971,2.66302751398377,0.0
23,0,-2.2891594908155524,2.6633231206650687,0.0
24,0,-2.2892319284430047,2.6636021561529115,0.0
25,0,-2.289308828485475,2.6638914285347437,0.0
26,0,-2.2893783627426147,2.664147234373191,0.0
27,0,-2.289449707008137,2.664404371028193,0.0
28,0,-2.2895211617145015,2.6646568145577905,0.0
29,0,-2.289589350616856,2.664893236252149,0.0
30,0,-2.289655468314906,2.6651185163760136,0.0
31,0,-2.289720047105909,2.6653349750161253,0.0
32,0,-2.2897783630748094,2.6655275420214397,0.0
33,0,-2.2898340056081166,2.6657088230264576,0.0
34,0,-2.289886179418651,2.6658767054504113,0.0
35,0,-2.289933749276153,2.6660280656437405,0.0
36,0,-2.2899776663700044,2.666166402605836,0.0
37,0,-2.290018276501321,2.6662931600765756,0.0
38,0,-2.2900548302947485,2.666406325447002,0.0
39,0,-2.290084519933049,2.6664976056982286,0.0
40,0,-2.290113394738892,2.6665858457425378,0.0
41,0,-2.2901357622922847,2.6666538432733784,0.0
42,0,-2.2901574920151146,2.666719608007039,0.0
43,0,-2.2901744063424165,2.6667706010486105,0.0
44,0,-2.2901894898600292,2.6668159299843692,0.0
45,0,-2.2902002794327085,2.666848271835819,0.0
46,0,-2.2902092315929368,2.6668750538797554,0.0
47,0,-2.2902160562470764,2.6668954394920408,0.0
48,0,-2.290218649460199,2.6669031784176873,0.0
49,0,-2.29021964039863,2.6669061346385234,0.0
50,0,-2.2902229383486152,2.66691596913753,0.0
51,0,-2.2902192988196397,2.6669051156864025,0.0
52,0,-2.2902139778358133,2.666889234052485,0.0
53,0,-2.290208899806611,2.666874062120233,0.0
54,0,-2.2902027695315668,2.6668557261627286,0.0
55,0,-2.2901945607043874,2.6668311384717653,0.0
56,0,-2.290186528929749,2.6668070424995833,0.0
57,0,-2.2901763613574984,2.666776483914693,0.0
58,0,-2.2901635953535746,2.6667380281257023,0.0
59,0,-2.2901492404771253,2.6666946686831654,0.0
60,0,-2.290133320494589,2.666646435180196,0.0
61,0,-2.290119781165452,2.6666052920586156,0.0
62,0,-2.2900996589426974,2.6665439349827946,0.0
63,0,-2.2900937583279255,2.666525894732582,0.0
64,0,-2.290053079250544,2.666400924256841,0.0
65,0,-2.2900313169065067,2.6663336313787407,0.0
66,0,-2.2892415053214807,2.663638561384542,0.0
67,0,-2.2901223928820924,2.6666132373114997,0.0
68,0,-2.288935560275678,2.6624149258286645,0.0
69,0,-2.288911659520984,2.6623134291787878,0.0
70,0,-2.290203357726434,2.666857486441631,0.0
71,0,-2.288780363310064,2.661737694802326,0.0
72,0,-2.2887444520110756,2.6615744164370954,0.0
73,0,-2.288707574272505,2.661403903959821,0.0
74,0,-2.2886709686070033,2.66123165362817,0.0
75,0,-2.288632688719459,2.6610481542090287,0.0
76,0,-2.2885893373733066,2.6608359263394656,0.0
77,0,-2.2885575391119946,2.6606770908860033,0.0
78,0,-2.2885205638756125,2.6604888139748684,0.0
79,0,-2.288483998019109,2.6602985992657846,0.0
80,0,-2.2884451982203666,2.660092087581078,0.0
81,0,-2.2884122516042087,2.659912686566856,0.0
82,0,-2.2883782206391383,2.659723205541075,0.0
83,0,-2.2883426463674117,2.6595202671082436,0.0
84,0,-2.288310667570795,2.659333276660833,0.0
85,0,-2.288276837966159,2.6591303901853593,0.0
86,0,-2.288244760321773,2.6589328053386203,0.0
87,0,-2.2882136613738053,2.6587360049556326,0.0
88,0,-2.288183632333097,2.6585406580589788,0.0
89,0,-2.288153615158386,2.6583397063593743,0.0
90,0,-2.288124694469359,2.6581402305232835,0.0
91,0,-2.288097249320872,2.657945107859968,0.0
92,0,-2.2880700081847873,2.6577452824212053,0.0
93,0,-2.288043778378312,2.657546501769582,0.0
