Iteration,Simulation,Result,X0,X1,X2,X3
0,0,-2000,5.009191249687961,2.377320656437195,2.6291918451963925,4.023666106255492
1,0,-156.34185110460703,6.643861931942674,1.9096016791789394,9.859010106493859,8.378282255425272
2,0,-156.34205900331517,6.643863230910494,1.9096048383495765,9.859010141540576,8.378282872629226
3,0,-154.19346154128635,6.642562488963835,1.8534893359744804,9.942424397146375,8.419572906443447
4,0,-234.80288740207823,7.2383353032015725,2.782355931094159,10.0,9.13565252268773
5,0,-119.5818446375001,6.202602249818679,1.4339861626043535,10.0,7.896851662055809
6,0,-103.54527024881145,5.4622016062529894,1.4080137682455471,10.0,7.707956796251464
7,0,-91.18009900331683,5.057216872952651,1.1692244171229484,10.0,7.967410942846709
8,0,-60.58809923507632,4.425798705332727,0.125,10.0,8.51783380348657
9,0,-63.29818981132895,3.5518469640381873,0.125,10.0,9.058314378989486
10,0,-60.05277423564106,4.008481777838592,0.125,10.0,8.510581303784084
11,0,-61.391478084103454,4.105280093666308,0.125,10.0,8.691619103005834
12,0,-57.982591471534846,4.384738424049571,0.125,10.0,8.141770490652421
13,0,-57.00060910492891,4.475732664786382,0.125,10.0,7.980883044253966
14,0,-55.55875882404155,4.677251662279567,0.125,10.0,7.731225822669415
15,0,-54.643293749654234,4.884239315480872,0.125,10.0,7.5562936734028
16,0,-54.35316683264675,5.015115620970685,0.125,10.0,7.487272869850278
17,0,-54.59042390126443,5.071992871725009,0.125,10.0,7.510528105284891
18,0,-53.55521420276765,5.00914756036502,0.125,10.0,7.371065518516074
19,0,-51.2575446148558,5.055563993040881,0.125,10.0,7.02345795488614
20,0,-48.74785416938593,5.195355954734434,0.125,10.0,6.625024262087169
21,0,-46.78213783445083,5.491353314396266,0.125,10.0,6.271479913516036
22,0,-46.391960340060784,5.703916697488782,0.125,10.0,6.165706395263013
23,0,-46.651099346489886,5.730028421630779,0.125,10.0,6.197773207690453
24,0,-45.12189919236093,5.687430696640902,0.125,10.0,5.982626191617272
25,0,-2000,5.844906546387605,0.125,10.0,5.486109249703251
26,0,-45.17640790523155,5.418166841320366,0.12600973954311265,9.99999955128629,6.046161837920388
27,0,-49.41359028017737,5.906069812491972,0.13129879777871814,9.99999400063541,6.524040697756373
28,0,-46.02249766917147,5.60498820314911,0.14256600439305991,10.0,6.03685326289789
29,0,-46.21045579039671,5.208897239938975,0.125,9.999997048075281,6.248771353736089
30,0,-49.45328134853498,5.455384083503777,0.125,10.0,6.672554202204033
31,0,-45.99976396230122,5.351539089344844,0.125,9.893002709516324,6.254071946890265
32,0,-46.17004946737922,5.35155857565432,0.125,10.0,6.212209264122412
33,0,-45.65883034437203,5.73785224992027,0.125,9.975681338751375,6.064680752035652
34,0,-46.68303993687484,5.189003002425097,0.125,9.774633494325606,6.468289869033494
35,0,-48.464193966987416,5.645894707539142,0.125,10.0,6.484028589056053
36,0,-47.80862080414216,5.383535274607031,0.125,10.0,6.44635839743611
37,0,-45.34454399821032,5.097907009020559,0.125,9.82134275220128,6.25636616826488
38,0,-50.83957112828623,5.294148710250924,0.125,9.87555532107048,6.998871045851835
39,0,-47.95246500663674,5.855342457452778,0.125,10.0,6.359774681425218
40,0,-63.94239468046911,4.789065539952626,0.3554756970930854,9.996823845615339,7.956839709665787
41,0,-46.10397713006196,5.198385523007521,0.125,9.86262186443209,6.32217651299884
42,0,-45.44966827525528,5.664481563664087,0.125,10.0,6.036153007827179
43,0,-58.280788693014486,5.5343491163812315,0.4433481899834434,10.0,6.228447002642288
44,0,-50.97922249935698,5.711775924455448,0.25712702714620106,10.0,6.081295933608088
45,0,-51.7905042400985,5.246182531140369,0.31424088504159176,9.947550851574716,6.165457169195995
46,0,-55.527149293682584,5.231047655252405,0.31438471364825255,9.864887429108665,6.774545393586577
47,0,-46.65933275219865,4.9177289369609305,0.125,9.835129255242622,6.481602920900395
48,0,-48.406308699854904,5.028546489922882,0.125,9.754519036153573,6.775751275442442
49,0,-46.928222207047256,5.6646613936769095,0.1686285277985367,10.0,6.007548372109936
50,0,-56.460044032333194,5.809034800654698,0.3269011460059528,10.0,6.423302911642914
51,0,-48.77301994371564,5.000077371383951,0.21240504088139645,9.902674970999454,6.336793365271539
52,0,-45.18085278170602,5.655207284475246,0.125,10.0,5.998728644169263
53,0,-45.81917416478733,5.773968872429803,0.125,10.0,6.065079100984086
54,0,-45.41696561525238,5.716506780585997,0.125,10.0,6.0193088970860735
55,0,-51.334572706967826,5.049750719318437,0.125,9.73345490423998,7.228663255341595
